flight_id,occupied_seats
2,94
3,97
7,101
8,94
9,116
10,95
11,100
12,91
14,97
15,90
18,95
19,88
22,102
24,82
30,99
31,104
32,106
41,121
42,92
43,90
45,93
46,93
49,95
50,97
51,101
53,96
63,103
64,96
66,93
69,105
72,110
74,94
78,85
80,118
82,93
83,94
84,109
85,91
89,106
90,102
91,116
93,96
96,100
98,92
99,103
100,104
101,110
102,91
105,118
106,99
108,96
110,102
111,90
114,85
115,98
116,90
117,98
126,96
127,96
128,122
132,104
133,94
134,93
135,121
138,102
139,93
140,101
143,114
144,93
147,93
150,114
151,99
152,98
154,91
159,106
160,95
161,98
162,97
165,101
166,104
170,91
171,95
172,99
173,98
176,99
179,90
180,100
183,99
184,98
185,98
186,108
188,99
194,105
199,100
209,96
212,117
213,98
214,95
215,116
219,98
221,100
223,100
224,100
225,99
226,103
230,95
231,106
234,100
235,95
238,94
239,94
241,102
242,87
247,115
248,97
252,90
253,91
254,96
258,92
259,95
263,105
264,92
265,98
267,93
269,100
271,116
273,111
281,101
283,86
286,113
287,93
291,110
292,101
293,93
295,100
300,100
301,98
307,100
308,94
314,98
316,95
317,97
319,104
321,86
322,6
329,100
330,109
331,95
332,90
333,115
336,95
337,95
340,90
341,92
346,86
352,97
353,101
354,95
355,96
356,87
358,89
359,116
362,122
363,98
364,98
365,121
366,94
373,3
374,83
376,106
377,91
378,102
381,93
383,88
384,116
388,100
389,95
393,92
394,96
399,98
400,97
401,94
404,102
405,91
406,98
407,107
410,93
413,97
414,94
415,103
416,116
417,110
422,101
423,97
424,96
425,95
430,123
432,93
433,97
441,98
443,99
444,92
445,94
446,103
447,92
448,93
451,94
453,100
454,91
455,95
457,100
460,99
461,94
463,112
468,99
469,88
473,103
474,98
475,101
476,111
481,95
482,85
483,92
484,97
485,110
486,98
487,99
500,110
502,105
503,92
507,96
508,99
511,96
515,108
517,95
518,126
519,123
521,102
522,98
523,105
525,94
528,96
529,101
534,114
535,98
536,97
538,96
539,101
540,95
542,92
543,95
544,90
547,93
549,94
550,100
551,100
552,98
557,90
561,95
563,113
564,108
567,95
568,100
570,109
573,100
574,96
575,95
576,99
577,92
578,101
583,103
584,96
585,105
588,92
589,96
598,95
599,98
600,81
601,100
604,104
605,89
606,94
613,115
614,86
623,101
624,94
625,99
626,111
628,106
630,96
634,91
638,124
639,112
641,105
645,113
646,96
649,111
651,96
652,107
653,105
656,116
661,102
662,95
663,93
664,91
666,92
668,46
669,83
670,96
672,98
673,116
674,96
676,97
681,97
683,102
685,108
686,96
688,96
690,105
692,99
694,89
697,98
698,94
700,96
703,93
706,104
707,96
710,119
711,98
714,95
715,99
718,103
719,100
720,104
723,87
726,91
727,92
728,103
729,104
730,99
731,98
733,102
734,102
737,87
738,95
742,93
743,102
746,93
748,98
752,93
753,109
757,105
758,93
762,90
767,108
778,96
779,108
780,100
781,90
782,92
786,105
787,99
789,111
794,110
795,110
796,93
800,104
801,108
802,109
807,97
808,96
811,100
812,100
813,98
814,95
819,97
820,91
824,109
825,97
826,102
827,95
828,98
831,106
832,104
833,96
839,84
840,8
847,94
848,113
851,93
852,95
853,95
856,95
858,100
863,116
864,102
865,106
868,105
870,106
871,93
872,98
874,97
875,89
876,93
881,95
882,78
884,101
885,94
886,1
887,97
889,103
896,108
898,99
903,99
904,97
905,95
906,91
908,102
912,117
913,116
914,98
915,94
922,98
923,94
925,97
926,103
927,87
930,96
931,92
932,102
933,92
934,87
937,97
938,93
939,112
945,77
946,96
949,98
950,114
952,100
953,97
955,93
958,100
959,95
964,103
965,99
966,106
968,92
969,105
972,107
975,97
976,97
977,99
979,90
980,96
982,91
986,108
988,89
989,99
993,96
994,103
997,90
998,112
1004,108
1005,93
1009,91
1012,89
1013,87
1016,110
1017,98
1018,96
1020,106
1022,101
1023,98
1024,92
1025,101
1032,88
1033,96
1036,92
1037,94
1039,92
1042,103
1045,97
1047,95
1048,108
1055,103
1056,85
1057,90
1058,88
1061,118
1064,73
1069,105
1070,92
1073,101
1075,96
1079,121
1080,89
1081,88
1085,97
1086,101
1087,103
1091,4
1092,84
1095,101
1099,97
1102,94
1104,94
1105,97
1106,107
1109,114
1113,94
1114,90
1115,103
1119,103
1120,101
1121,92
1123,102
1125,96
1127,100
1129,99
1130,97
1131,89
1135,106
1137,94
1138,98
1139,114
1140,94
1143,97
1144,99
1145,109
1147,115
1153,69
1154,97
1155,95
1156,101
1159,90
1161,94
1163,99
1164,91
1165,94
1171,110
1172,85
1173,97
1174,96
1175,96
1176,108
1181,94
1182,126
1184,107
1185,87
1186,100
1188,90
1189,92
1190,101
1196,100
1200,104
1201,92
1202,98
1205,91
1206,92
1207,98
1212,96
1213,101
1217,95
1221,102
1222,104
1225,91
1227,103
1230,93
1234,110
1237,108
1238,91
1239,95
1249,110
1250,89
1251,94
1252,120
1255,95
1256,99
1257,96
1260,90
1261,115
1266,124
1267,92
1274,91
1275,105
1279,91
1280,109
1281,86
1283,101
1284,90
1285,88
1286,112
1289,91
1290,89
1291,106
1297,94
1298,96
1299,100
1301,99
1303,121
1306,108
1307,95
1308,98
1309,93
1310,92
1311,104
1314,104
1315,102
1318,92
1319,90
1323,107
1324,98
1326,82
1327,92
1328,84
1331,99
1333,109
1337,110
1338,103
1339,97
1340,100
1341,108
1346,96
1347,104
1351,101
1355,106
1356,92
1358,97
1359,91
1361,101
1364,89
1365,110
1366,96
1368,86
1369,103
1370,97
1371,97
1374,97
1378,94
1381,103
1382,96
1383,104
1385,84
1389,9
1391,91
1392,95
1394,96
1398,98
1404,95
1405,104
1410,100
1412,98
1413,89
1414,99
1415,101
1416,98
1421,99
1422,111
1432,111
1433,97
1434,126
1436,92
1441,100
1442,88
1446,117
1447,95
1448,93
1450,103
1451,97
1452,98
1453,111
1455,100
1458,90
1459,97
1460,92
1463,90
1465,116
1472,106
1475,99
1476,119
1479,98
1480,91
1483,88
1484,121
1490,119
1491,96
1495,87
1497,105
1501,100
1504,94
1509,83
1510,97
1511,91
1519,110
1520,101
1521,101
1522,94
1523,95
1524,29
1525,102
1529,88
1532,109
1533,99
1534,105
1537,104
1542,97
1543,97
1545,95
1546,95
1548,88
1549,105
1550,97
1552,93
1556,95
1557,107
1558,93
1559,96
1561,104
1562,98
1567,106
1570,96
1571,88
1574,106
1578,100
1579,94
1580,98
1581,87
1582,94
1583,97
1584,93
1585,330
